domain,ideology,type
thebrunswicknews.com,,local
pressdemocrat.com,-0.1405,local
commercialappeal.com,-0.0222,local
phys.org,-0.2064,national
cleveland.com,-0.047,local
delawareonline.com,-0.0891,local
app.com,0.0875,local
nhk.or.jp,,
wesh.com,0.2539,
thestreet.com,0.1554,national
thegazette.com,0.2812,local
dailysignal.com,0.8842,national
good.is,-0.5948,national
reviewjournal.com,0.1918,local
silive.com,-0.1686,local
jsonline.com,-0.0542,local
qconline.com,0.045,local
nwherald.com,0.1991,local
ocregister.com,0.2067,local
chroniclingamerica.loc.gov,-0.3552,national
kcra.com,0.4702,
winonadailynews.com,,local
amac.us,0.9178,
livemint.com,-0.1819,national
courant.com,-0.1115,local
wwltv.com,0.2423,
thinkprogress.org,-0.7193,national
argusleader.com,0.4518,local
wistv.com,0.1971,
prnewswire.com,0.0483,national
bostonherald.com,0.0754,local
whas11.com,0.1909,
whotv.com,0.4526,
abc.net.au,-0.2167,international
bizpacreview.com,0.887,national
madison.com,,local
wlos.com,0.0775,
observer.com,-0.1827,national
clevelandbanner.com,,local
miaminewtimes.com,-0.3212,local
rare.us,0.5831,national
masslive.com,-0.2665,local
wbrc.com,-0.1893,
wqow.com,,
foreignpolicy.com,-0.4485,national
mcdonoughvoice.com,,local
catholicnewsagency.com,0.58,
galesburg.com,,local
nhregister.com,-0.1452,local
fresnobee.com,-0.0989,local
sputniknews.com,0.3021,international
wftv.com,0.1809,
nationalinterest.org,0.2148,national
wqad.com,0.2965,
effinghamdailynews.com,,local
news12.com,0.1512,
buffalonews.com,-0.0199,local
americanthinker.com,0.8718,national
metafilter.com,-0.7785,national
lawfareblog.com,-0.6433,national
helenair.com,-0.193,local
wjbf.com,,
pressherald.com,-0.4097,local
wavy.com,0.0848,
wtsp.com,0.2656,
newsbusters.org,0.8702,national
talkingpointsmemo.com,-0.6732,national
herald-dispatch.com,0.1113,local
rollcall.com,-0.1641,national
mysanantonio.com,0.0318,local
abc3340.com,0.2458,
rtve.es,-0.1846,
wfaa.com,0.2697,
walb.com,0.3391,
mycentraljersey.com,0.0879,local
king5.com,-0.0595,
lohud.com,-0.1004,local
independent.ie,-0.1355,
louderwithcrowder.com,0.9148,
koin.com,-0.3224,
diario.mx,,
bangordailynews.com,-0.1939,local
wdsu.com,0.1843,
siouxcityjournal.com,0.5127,local
kfor.com,0.3655,
idahostatesman.com,0.221,local
theresurgent.com,0.7598,national
fox59.com,0.4573,
kait8.com,,
wmtw.com,0.045,
firstcoastnews.com,0.485,
battlecreekenquirer.com,,local
dailyinterlake.com,,local
timesnews.net,,local
azfamily.com,0.3254,
wgme.com,-0.1441,
wkyc.com,0.0495,
globegazette.com,0.3357,local
wataugademocrat.com,,local
orlandoweekly.com,-0.295,local
13abc.com,0.1424,
thestranger.com,-0.7594,local
theglobeandmail.com,-0.2402,international
atlantablackstar.com,-0.7064,local
sfexaminer.com,-0.277,local
globo.com,-0.2181,
worldpoliticsreview.com,-0.5317,national
goerie.com,-0.0732,local
triblive.com,0.1962,local
voanews.com,-0.2529,national
clarionledger.com,-0.2341,local
investors.com,0.7217,national
11alive.com,0.1956,
theperspective.com,,
nationalpost.com,-0.1346,national
pratttribune.com,,local
lmtonline.com,,local
fox35orlando.com,0.5019,
cnsnews.com,0.8578,national
poll.qu.edu,-0.7373,national
greenvilleonline.com,0.1553,local
wbaltv.com,-0.0485,
csmonitor.com,-0.2341,national
northcountrynow.com,-0.032,local
stamfordadvocate.com,-0.0176,local
wfla.com,0.4172,
wytv.com,,
news-leader.com,0.1312,local
aikenstandard.com,0.1641,local
readingeagle.com,0.1776,local
ydr.com,0.2475,local
militarytimes.com,0.2375,national
news-press.com,0.3702,local
thepoliticalinsider.com,0.8515,national
fox5atlanta.com,0.1891,
mynews13.com,0.3128,
grandforksherald.com,-0.0073,local
abc30.com,0.2113,
nbcsandiego.com,0.1085,
ap.org,-0.5079,national
wfmj.com,0.2655,
pantagraph.com,-0.0395,local
kake.com,0.6701,
wjla.com,-0.1817,
politicususa.com,-0.7081,national
daily-chronicle.com,,local
eluniversal.com.mx,-0.3246,
wbrz.com,0.4907,
huffingtonpost.ca,-0.2414,international
courierpress.com,0.2355,local
lifezette.com,0.8501,national
wgrz.com,0.1135,
bipartisanreport.com,-0.7469,national
irishtimes.com,-0.3228,international
dailylocal.com,0.2307,local
wgal.com,0.3454,
ibtimes.co.uk,-0.119,international
kearneyhub.com,0.5697,local
splcenter.org,-0.6753,national
westword.com,-0.3379,local
roanoke.com,-0.0978,local
spiritofjefferson.com,,local
kgun9.com,0.3515,
wsmv.com,0.2428,
thetimes.co.uk,-0.1205,international
japantimes.co.jp,-0.0909,international
messengernews.net,0.6028,local
kcrg.com,0.2417,
goodnewsnetwork.org,-0.0995,national
morningconsult.com,0.0071,national
daytondailynews.com,0.0576,local
faribaultcountyregister.com,,local
wate.com,0.198,
justsecurity.org,-0.6648,national
