"","domain","twitter_handle"
"235","time.com","timebusiness"
"236","time.com","timepolitics"
"237","time.com","timeworld"
"238","patch.com","PatchTweet"
"239","rawstory.com","rawstory"
"240","politico.com","politico"
"241","politico.com","politicomag"
"242","politico.com","playbookplus"
"243","politico.com","politicolive"
"244","politico.com","politicopi"
"245","politico.com","politicopro"
"246","politico.com","politico_45"
"247","theroot.com","theroot"
"248","dallasnews.com","dallasnews"
"249","snopes.com","snopes"
"250","wsj.com","wsj"
"251","wsj.com","wsjfinreg"
"252","wsj.com","wsjcentralbanks"
"253","wsj.com","wsjmag"
"254","wsj.com","whatsnewswsj"
"255","wsj.com","wsjthinktank"
"256","wsj.com","wsjmarkets"
"257","wsj.com","wsjlawnews"
"258","wsj.com","wsjbusiness"
"259","wsj.com","wsjusnews"
"260","wsj.com","wsjworld"
"261","wsj.com","wsjbreakingnews"
"262","wsj.com","wsjmoneybeat"
"263","wsj.com","wsjecon"
"264","wsj.com","wsjpolitics"
"265","billingsgazette.com","billingsgazette"
"266","pbs.org","pbs"
"267","pbs.org","washingtonweek"
"268","pbs.org","frontlinepbs"
"269","pbs.org","newshour"
"270","pbs.org","bizrpt"
"271","pbs.org","povengage"
"272","pbs.org","newshourworld"
"273","nationalgeographic.com","NatGeo"
"274","sfgate.com","SFGate"
"275","vox.com","voxdotcom"
"276","fivethirtyeight.com","fivethirtyeight"
"277","fivethirtyeight.com","538politics"
"278","dailywire.com","realdailywire"
"279","nymag.com","nymag"
"280","nymag.com","intelligencer"
"281","slate.com","slate"
"282","slate.com","slatest"
"283","slate.com","slateforeign"
"284","cbslocal.com","cbslocal"
"285","independent.co.uk","Independent"
"286","nydailynews.com","nydailynews"
"287","scmp.com","SCMPNews"
"288","foxbusiness.com","foxbusiness"
"289","tucson.com","tucsonstar"
"290","splinternews.com","splinter_news"
"291","chron.com","myclevelandnews"
"292","rd.com","readersdigest"
"293","detroitnews.com","detroitnews"
"294","express.co.uk","Daily_Express"
"295","bbc.co.uk","BBC"
"296","msnbc.com","msnbc"
"297","msnbc.com","velshiruhle"
"298","msnbc.com","kasiedc"
"299","msnbc.com","thebeatwithari"
"300","msnbc.com","deadlinewh"
"301","msnbc.com","11thhour"
"302","msnbc.com","amjoyshow"
"303","msnbc.com","waytooearly"
"304","msnbc.com","allinwithchris"
"305","msnbc.com","politicsnation"
"306","msnbc.com","morning_joe"
"307","msnbc.com","hardball"
"308","msnbc.com","thelastword"
"309","msnbc.com","msnbcyourbiz"
"310","msnbc.com","jdbmsnbc"
"311","msnbc.com","maddowblog"
"312","msnbc.com","meetthepress"
"313","msnbc.com","msnnews"
"314","nationalreview.com","nro"
